show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Red Notice,Rawson Marshall Thurber,Dwayne Johnson; Ryan Reynolds,United States,"November 12, 2021",2021,PG-13,118 min,Action & Adventure,"An FBI profiler pursues the world's most wanted art thief."
s2,TV Show,Stranger Things,Duffer Brothers,Millie Bobby Brown; Finn Wolfhard,United States,"July 15, 2016",2016,TV-14,4 Seasons,Sci-Fi & Fantasy,"A group of kids uncover supernatural mysteries."
s3,Movie,The Gray Man,Anthony Russo,Ryan Gosling; Chris Evans,United States,"July 22, 2022",2022,PG-13,129 min,Action & Adventure,"A CIA operative becomes the target of assassins."
s4,TV Show,Wednesday,Tim Burton,Jenna Ortega,United States,"November 23, 2022",2022,TV-14,1 Season,Comedy,"Wednesday Addams investigates a supernatural mystery."
s5,Movie,Extraction,Sam Hargrave,Chris Hemsworth,India,"April 24, 2020",2020,R,116 min,Action & Adventure,"A mercenary is hired to rescue a kidnapped child."
s6,Movie,Leo,Lokesh Kanagaraj,Vijay,India,"October 19, 2023",2023,UA,164 min,Action & Adventure,"A café owner faces his violent past."
s7,TV Show,Money Heist,Alex Pina,Alvaro Morte,Spain,"May 2, 2017",2017,TV-MA,5 Seasons,Crime TV Shows,"A criminal mastermind plans the biggest heist."
s8,Movie,RRR,S. S. Rajamouli,N. T. Rama Rao Jr.; Ram Charan,India,"May 20, 2022",2022,UA,182 min,Action & Adventure,"Two revolutionaries fight against colonial rule."
s9,TV Show,Dark,Baran bo Odar,Louis Hofmann,Germany,"December 1, 2017",2017,TV-MA,3 Seasons,Sci-Fi & Fantasy,"A time-travel mystery unfolds in a small town."
s10,Movie,Jawan,Atlee,Shah Rukh Khan,India,"September 7, 2023",2023,UA,169 min,Action & Adventure,"A vigilante fights corruption and injustice."